Zone;Année_x;Valeur_x;Année_y;Valeur_y;Taux de sous-nutrition;id
Rwanda;2017;4.2;2017;11980.961;35.06;RWA
Sainte-Lucie;2017;;2017;180.954;;LCA
Saint-Kitts-et-Nevis;2017;;2017;52.045;;ken
Saint-Vincent-et-les Grenadines;2017;0.0;2017;109.827;0.0;VCT
Samoa;2017;;2017;195.352;;WSM
Samoa américaines;2017;;2017;55.62;;ASM
Sao Tomé-et-Principe;2017;0.0;2017;207.08900000000003;0.0;STP
Sénégal;2017;1.5;2017;15419.355;9.73;SEN
Serbie;2017;0.4;2017;8829.628;4.53;SER
Seychelles;2017;;2017;96.418;;SYC
Sierra Leone;2017;2.0;2017;7488.423000000002;26.71;SLE
Singapour;2017;;2017;5708.041;;SGP
Slovaquie;2017;0.3;2017;5447.9;5.51;SVK
Slovénie;2017;;2017;2076.394;;SVN
Somalie;2017;;2017;14589.178999999998;;SOM
Soudan;2017;5.0;2017;40813.397;12.25;SDN
Soudan du Sud;2017;;2017;10910.763;;SDS
Sri Lanka;2017;1.6;2017;21128.032000000007;7.57;LKA
Suède;2017;;2017;9904.896;;SWE
Suisse;2017;;2017;8455.804;;CHE
Suriname;2017;0.0;2017;570.496;0.0;SUR
Tadjikistan;2017;;2017;8880.268;;TJK
Tchad;2017;5.7;2017;15016.753;37.96;TCD
Tchéquie;2017;;2017;10641.034;;CZE
Thaïlande;2017;6.2;2017;69209.81;8.96;THA
Timor-Leste;2017;0.4;2017;1243.258;32.17;TLS
Togo;2017;1.6;2017;7698.474;20.78;TGO
Tokélaou;2017;;2017;1.3;;TKL
Tonga;2017;;2017;101.998;;TON
Trinité-et-Tobago;2017;0.0;2017;1384.059;0.0;TTO
Tunisie;2017;;2017;11433.443;;TUN
Turkménistan;2017;0.2;2017;5757.667;3.47;TKM
Turquie;2017;;2017;81116.45;;TUR
Tuvalu;2017;;2017;11.37;;TUV
Ukraine;2017;1.5;2017;44487.709;3.37;UKR
Uruguay;2017;;2017;3436.641;;URY
Vanuatu;2017;0.0;2017;285.51;0.0;VUT
Venezuela (République bolivarienne du);2017;8.0;2017;29402.484;27.21;VEN
Viet Nam;2017;6.5;2017;94600.648;6.87;VNM
Yémen;2017;;2017;27834.819;;YEM
Zambie;2017;;2017;16853.599;;ZMB
Zimbabwe;2017;;2017;14236.595;;ZWE
